AcademicYear,Sex,FacultyID,FacultyName,DepartmentCode,EntryTypeID,EntryTypeName,TCAS,LevelID,HomeRegion,StudentTH,GPAX,Status
2562,Female,10,School of Liberal Arts,1005,40,FOREIGNER,5,3,International,0,0,MFU student
2562,Male,10,School of Liberal Arts,1005,40,FOREIGNER,5,3,International,0,0,MFU student
2562,Male,10,School of Liberal Arts,1005,40,FOREIGNER,5,3,International,0,0,MFU student
2562,Female,10,School of Liberal Arts,1005,40,FOREIGNER,5,3,International,0,0,MFU student
2562,Female,10,School of Liberal Arts,1005,40,FOREIGNER,5,3,International,0,0,MFU student
2562,Female,10,School of Liberal Arts,1005,40,FOREIGNER,5,3,International,0,0,MFU student
2562,Female,10,School of Liberal Arts,1005,40,FOREIGNER,5,3,International,0,0,MFU student
2562,Female,10,School of Liberal Arts,1005,40,FOREIGNER,5,3,International,0,0,MFU student
2562,Male,10,School of Liberal Arts,1005,40,FOREIGNER,5,3,International,0,0,MFU student
2562,Female,10,School of Liberal Arts,1005,40,FOREIGNER,5,3,International,0,0,MFU student
2562,Male,10,School of Liberal Arts,1005,40,FOREIGNER,5,3,International,0,0,MFU student
2562,Male,10,School of Liberal Arts,1005,40,FOREIGNER,5,3,International,0,0,MFU student
2562,Male,10,School of Liberal Arts,1005,40,FOREIGNER,5,3,International,0,0,MFU student
2562,Male,10,School of Liberal Arts,1005,40,FOREIGNER,5,3,International,0,0,MFU student
2562,Female,10,School of Liberal Arts,1005,40,FOREIGNER,5,3,International,0,0,MFU student
2562,Male,10,School of Liberal Arts,1005,40,FOREIGNER,5,3,International,0,0,MFU student
2562,Female,10,School of Liberal Arts,1005,40,FOREIGNER,5,3,International,0,0,MFU student
2562,Female,10,School of Liberal Arts,1005,40,FOREIGNER,5,3,International,0,0,MFU student
2562,Female,10,School of Liberal Arts,1005,40,FOREIGNER,5,3,International,0,0,MFU student
2562,Male,10,School of Liberal Arts,1005,40,FOREIGNER,5,3,International,0,0,MFU student
2562,Female,10,School of Liberal Arts,1005,40,FOREIGNER,5,3,International,0,0,MFU student
2562,Female,10,School of Liberal Arts,1005,40,FOREIGNER,5,3,International,0,0,MFU student
2562,Male,10,School of Liberal Arts,1005,40,FOREIGNER,5,3,International,0,0,MFU student
2562,Female,10,School of Liberal Arts,1005,40,FOREIGNER,5,3,International,0,0,MFU student
2562,Female,10,School of Liberal Arts,1005,40,FOREIGNER,5,3,International,0,0,MFU student
2562,Female,10,School of Liberal Arts,1005,40,FOREIGNER,5,3,International,0,0,MFU student
2562,Female,10,School of Liberal Arts,1006,10,QUOTA 17 NORTHERN PROVINCES,2,3,North,1,3.61,MFU student
2562,Male,10,School of Liberal Arts,1006,10,QUOTA 17 NORTHERN PROVINCES,2,3,North,1,3.04,MFU student
2562,Female,10,School of Liberal Arts,1006,29,DIRECT ADMISSION BY SCHOOL,1,3,North,1,3.92,MFU student
2562,Female,10,School of Liberal Arts,1006,29,DIRECT ADMISSION BY SCHOOL,1,3,North,1,3.46,MFU student
2562,Female,10,School of Liberal Arts,1006,10,QUOTA 17 NORTHERN PROVINCES,2,3,North,1,3.4,MFU student
2562,Female,10,School of Liberal Arts,1006,10,QUOTA 17 NORTHERN PROVINCES,2,3,North,1,3.22,MFU student
2562,Female,10,School of Liberal Arts,1006,29,DIRECT ADMISSION BY SCHOOL,1,3,North East,1,2.94,MFU student
2562,Female,10,School of Liberal Arts,1006,10,QUOTA 17 NORTHERN PROVINCES,2,3,North,1,3.83,MFU student
2562,Female,10,School of Liberal Arts,1006,29,DIRECT ADMISSION BY SCHOOL,1,3,North,1,3.69,MFU student
2562,Male,10,School of Liberal Arts,1006,10,QUOTA 17 NORTHERN PROVINCES,2,3,North,1,2.52,MFU student
2562,Female,10,School of Liberal Arts,1006,29,DIRECT ADMISSION BY SCHOOL,1,3,South,1,3.46,MFU student
2562,Female,10,School of Liberal Arts,1006,10,QUOTA 17 NORTHERN PROVINCES,2,3,North,1,3.64,MFU student
2562,Female,10,School of Liberal Arts,1006,29,DIRECT ADMISSION BY SCHOOL,1,3,South,1,3.78,MFU student
2562,Female,10,School of Liberal Arts,1006,29,DIRECT ADMISSION BY SCHOOL,1,3,North,1,3.63,MFU student
2562,Female,10,School of Liberal Arts,1006,24,INTERNATIONAL SCHOOL,1,3,Central,1,1.714026117,MFU student
2562,Male,10,School of Liberal Arts,1006,10,QUOTA 17 NORTHERN PROVINCES,2,3,North,1,2.84,MFU student
2562,Male,10,School of Liberal Arts,1006,29,DIRECT ADMISSION BY SCHOOL,1,3,North East,1,3.09,MFU student
2562,Male,10,School of Liberal Arts,1006,10,QUOTA 17 NORTHERN PROVINCES,2,3,North,1,3.28,MFU student
2562,Male,10,School of Liberal Arts,1006,10,QUOTA 17 NORTHERN PROVINCES,2,3,North,1,2.91,MFU student
2562,Female,10,School of Liberal Arts,1006,29,DIRECT ADMISSION BY SCHOOL,1,3,North,1,2.51,MFU student
2562,Female,10,School of Liberal Arts,1006,29,DIRECT ADMISSION BY SCHOOL,1,3,North,1,3.57,MFU student
2562,Male,10,School of Liberal Arts,1006,29,DIRECT ADMISSION BY SCHOOL,1,3,South,1,2.88,MFU student
2562,Female,10,School of Liberal Arts,1006,10,QUOTA 17 NORTHERN PROVINCES,2,3,Central,1,3.22,MFU student
2562,Female,10,School of Liberal Arts,1006,29,DIRECT ADMISSION BY SCHOOL,1,3,South,1,3.13,MFU student
2562,Male,10,School of Liberal Arts,1006,10,QUOTA 17 NORTHERN PROVINCES,2,3,North,1,2.79,MFU student
2562,Female,10,School of Liberal Arts,1006,10,QUOTA 17 NORTHERN PROVINCES,2,3,North,1,3.46,MFU student
2562,Female,10,School of Liberal Arts,1006,29,DIRECT ADMISSION BY SCHOOL,1,3,East,1,3.33,MFU student
2562,Female,10,School of Liberal Arts,1006,24,INTERNATIONAL SCHOOL,1,3,East,1,1.714026117,MFU student
2562,Female,10,School of Liberal Arts,1006,29,DIRECT ADMISSION BY SCHOOL,1,3,Central,1,3.36,MFU student
2562,Female,10,School of Liberal Arts,1006,29,DIRECT ADMISSION BY SCHOOL,1,3,Bankok,1,3.3,MFU student
2562,Female,10,School of Liberal Arts,1006,10,QUOTA 17 NORTHERN PROVINCES,2,3,North,1,3.43,MFU student
2562,Female,10,School of Liberal Arts,1006,29,DIRECT ADMISSION BY SCHOOL,1,3,North,1,3.67,MFU student
2562,Female,10,School of Liberal Arts,1006,24,INTERNATIONAL SCHOOL,1,3,North East,1,1.714026117,MFU student
2562,Male,10,School of Liberal Arts,1006,29,DIRECT ADMISSION BY SCHOOL,1,3,North,1,2.94,MFU student
2562,Female,10,School of Liberal Arts,1006,29,DIRECT ADMISSION BY SCHOOL,1,3,East,1,3.14,MFU student
2562,Female,10,School of Liberal Arts,1006,29,DIRECT ADMISSION BY SCHOOL,1,3,South,1,2.86,MFU student
2562,Male,10,School of Liberal Arts,1006,29,DIRECT ADMISSION BY SCHOOL,1,3,South,1,2.64,MFU student
2562,Female,10,School of Liberal Arts,1006,10,QUOTA 17 NORTHERN PROVINCES,2,3,North,1,3.33,MFU student
2562,Female,10,School of Liberal Arts,1006,29,DIRECT ADMISSION BY SCHOOL,1,3,South,1,3.09,MFU student
2562,Male,10,School of Liberal Arts,1006,29,DIRECT ADMISSION BY SCHOOL,1,3,Central,1,3.15,MFU student
2562,Female,10,School of Liberal Arts,1006,29,DIRECT ADMISSION BY SCHOOL,1,3,North East,1,3.86,MFU student
2562,Female,10,School of Liberal Arts,1006,10,QUOTA 17 NORTHERN PROVINCES,2,3,North,1,3.2,MFU student
2562,Male,10,School of Liberal Arts,1006,29,DIRECT ADMISSION BY SCHOOL,1,3,North,1,3.64,MFU student
2562,Female,10,School of Liberal Arts,1006,29,DIRECT ADMISSION BY SCHOOL,1,3,North East,1,3.68,MFU student
2562,Male,10,School of Liberal Arts,1006,29,DIRECT ADMISSION BY SCHOOL,1,3,North,1,3.89,MFU student
